BRAND;"VENDOR CODE";TITLE;QUANTITY;WEIGHT;VOLUME;DELIVERY;STOCK;PRICE,AED;MIN_LOT
MITSUBISHI;'1010A109;"GUIDE,INLET VALVE";2;0,025;0,000;"=""3/6""";AB4;47,27;1
MITSUBISHI;'1010A138;VALVE,INLET;41;0,061;0,000;"=""3/6""";AB4;29,80;1
MITSUBISHI;'1010A164;"GUIDE,INLET VALVE";8;0,025;0,000;"=""3/6""";AB4;48,88;1
MITSUBISHI;'1010A289;"SPRING,INLET VALVE";4;0,000;0,000;"=""3/6""";AB4;13,07;1
MITSUBISHI;'1010A400;VALVE,INLET;23;0,060;0,000;"=""3/6""";AB4;28,88;1
MITSUBISHI;'1010A443;VALVE,INLET;84;0,055;0,000;"=""3/6""";AB4;34,24;1
MITSUBISHI;'1010A469;"SEAL,EXHAUST VALVE STEM";30;0,006;0,000;"=""3/6""";AB4;11,52;1
MITSUBISHI;'1010A510;VALVE,INLET;78;0,055;0,000;"=""3/6""";AB4;31,64;1
MITSUBISHI;'1010A653;VALVE,INLET;12;0,000;0,000;"=""3/6""";AB4;34,24;1
MITSUBISHI;'1010A655;VALVE,INLET;169;0,057;0,000;"=""3/6""";AB4;25,62;1
MITSUBISHI;'1011A074;"GUIDE,EXHAUST VALVE";36;0,026;0,000;"=""3/6""";AB4;46,98;1
MITSUBISHI;'1011A086;VALVE,EXHAUST;63;0,053;0,000;"=""3/6""";AB4;32,63;1
MITSUBISHI;'1011A141;VALVE,EXHAUST;12;0,051;0,000;"=""3/6""";AB4;33,91;1
MITSUBISHI;'1011A254;"GUIDE,EXHAUST VALVE";17;0,028;0,000;"=""3/6""";AB4;49,40;1
MITSUBISHI;'1011A327;VALVE,EXHAUST;123;0,032;0,000;"=""3/6""";AB4;36,00;1
MITSUBISHI;'1011A351;VALVE,EXHAUST;4;0,064;0,000;"=""3/6""";AB4;49,62;1
MITSUBISHI;'1011A354;VALVE,EXHAUST;27;0,037;0,000;"=""3/6""";AB4;30,31;1
MITSUBISHI;'1011A392;VALVE,EXHAUST;96;0,051;0,000;"=""3/6""";AB4;66,21;1
MITSUBISHI;'1011A446;VALVE,EXHAUST;3;0,051;0,000;"=""3/6""";AB4;40,19;1
MITSUBISHI;'1011A488;VALVE,EXHAUST;24;0,044;0,000;"=""3/6""";AB4;39,45;1
MITSUBISHI;'1011A493;VALVE,EXHAUST;5;0,050;0,000;"=""3/6""";AB4;36,30;1
MITSUBISHI;'1011A535;VALVE,EXHAUST;246;0,047;0,000;"=""3/6""";AB4;29,18;1
MITSUBISHI;'1011A575;VALVE,EXHAUST;12;0,000;0,000;"=""3/6""";AB4;57,51;1
MITSUBISHI;'1015A239;"CYL,CAMSHAFT POSITION SENS";1;0,000;0,000;"=""3/6""";AB4;47,64;1
MITSUBISHI;'1015B006;"GASKET,CAM BRG CAP CLUSTER";200;0,045;0,153;"=""3/6""";AB4;30,79;1
MITSUBISHI;'1015B008;CAMSHAFT,EXHAUST;2;3,222;0,000;"=""3/6""";AB4;892,65;1
